week,practice,url,order,section,minutes,kind,drill,is_option,drill_url
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,1,Pre-practice,,prep,Body Checking Basics,,
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,2,Warm-Up,10,ice,Chaos,,https://www.icehockeysystems.com/hockey-drills/chaos
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,3,Checking,,ice,Hit Through the Hands,,https://www.icehockeysystems.com/hockey-drills/hit-through-hands
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,4,Stations,,ice,USA Step Forward Drill,,https://www.icehockeysystems.com/hockey-drills/usa-step-forward-drill
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,5,Stations,,ice,Side by Side Checking,,https://www.icehockeysystems.com/hockey-drills/side-by-side-checking
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,6,Stations,,ice,Quick Release Shots,,
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,7,Small Area Games,,ice,Royal Road Drill,yes,https://www.icehockeysystems.com/hockey-drills/royal-road-drill
1,14U B White - Practice 1,https://www.icehockeysystems.com/share/practice/10829291,8,Small Area Games,,ice,Nobles 2 v 2 Transition Game,yes,https://www.icehockeysystems.com/hockey-drills/nobles-2-v-2-transition-game
